dates,number,temperature,humidity
2023-09-02 07:44:22,1,24,79
2023-09-02 07:45:30,2,24,79
2023-09-02 07:46:48,3,24,79
2023-09-02 07:49:37,4,24,79
2023-09-02 07:51:04,5,24,79
2023-09-02 07:52:32,6,25,80
2023-09-02 07:53:51,7,25,80
2023-09-02 07:55:09,8,25,80
2023-09-02 07:56:39,9,25,80
2023-09-02 07:58:10,10,25,80
2023-09-02 07:59:30,11,25,80
2023-09-02 08:00:50,12,25,80
2023-09-02 08:02:08,13,25,80
2023-09-02 08:03:27,14,25,80
2023-09-02 08:04:48,15,25,80
2023-09-02 08:06:10,16,25,80
2023-09-02 08:07:29,17,25,80
2023-09-02 08:08:46,18,25,80
2023-09-02 08:10:02,19,25,80
2023-09-02 08:11:18,20,25,80
2023-09-02 08:12:34,21,25,80
2023-09-02 08:13:50,22,25,80
2023-09-02 08:15:09,23,25,80
2023-09-02 08:16:25,24,25,80
2023-09-02 08:17:41,25,25,80
2023-09-02 08:19:14,26,25,80
2023-09-02 08:22:10,27,25,80
2023-09-02 08:23:19,28,25,80
2023-09-02 08:24:50,29,26,80
2023-09-02 08:26:08,30,26,80
2023-09-02 08:27:29,31,26,80
2023-09-02 08:28:45,32,26,80
2023-09-02 08:30:02,33,26,80
2023-09-02 08:31:19,34,25,80
2023-09-02 08:32:38,35,26,81
2023-09-02 08:34:03,36,26,81
2023-09-02 08:35:29,37,26,81
2023-09-02 08:37:02,38,26,81
2023-09-02 08:38:32,39,26,81
2023-09-02 08:39:52,40,26,81
2023-09-02 08:41:12,41,26,81
2023-09-02 08:43:54,42,26,81
2023-09-02 08:45:13,43,26,82
2023-09-02 08:46:32,44,26,81
2023-09-02 08:49:14,45,26,81
2023-09-02 08:50:31,46,26,81
2023-09-02 08:51:50,47,26,82
2023-09-02 08:53:07,48,26,82
2023-09-02 08:54:26,49,26,82
2023-09-02 08:55:45,50,26,82
2023-09-02 09:00:22,51,26,82
2023-09-02 09:01:54,52,26,82
2023-09-02 09:03:14,53,26,82
2023-09-02 09:04:31,54,26,82
2023-09-02 09:05:54,55,26,82
2023-09-02 09:07:11,56,26,82
2023-09-02 09:10:04,57,26,82
2023-09-02 09:11:22,58,26,82
2023-09-02 09:13:50,59,26,82
2023-09-02 09:15:05,60,26,82
2023-09-02 09:16:20,61,26,82
2023-09-02 09:17:36,62,26,82
2023-09-02 09:18:51,63,26,82
2023-09-02 09:20:07,64,26,82
2023-09-02 09:21:23,65,26,82
2023-09-02 09:22:39,66,26,82
2023-09-02 09:23:55,67,26,82
2023-09-02 09:25:11,68,26,83
2023-09-02 09:26:26,69,27,83
2023-09-02 09:27:43,70,27,83
2023-09-02 09:28:58,71,27,83
2023-09-02 09:30:14,72,24,83
2023-09-02 09:31:31,73,25,83
2023-09-02 09:32:46,74,25,83
2023-09-02 09:34:02,75,25,83
2023-09-02 09:35:17,76,25,83
2023-09-02 09:36:33,77,25,83
2023-09-02 09:37:48,78,25,83
2023-09-02 09:39:05,79,25,83
2023-09-02 09:40:20,80,25,83
2023-09-02 09:41:36,81,25,83
2023-09-02 09:42:52,82,25,83
2023-09-02 09:44:08,83,25,83
2023-09-02 09:45:24,84,25,83
2023-09-02 09:46:39,85,25,83
2023-09-02 09:47:56,86,25,83
2023-09-02 09:49:13,87,25,83
2023-09-02 09:50:29,88,25,83
2023-09-02 09:51:44,89,25,83
2023-09-02 09:53:00,90,25,83
2023-09-02 09:54:15,91,25,83
2023-09-02 09:55:32,92,25,83
2023-09-02 09:56:48,93,25,83
2023-09-02 09:58:04,94,25,83
2023-09-02 09:59:19,95,25,83
2023-09-02 10:00:35,96,25,83
2023-09-02 10:01:50,97,25,83
2023-09-02 10:03:06,98,26,83
2023-09-02 10:04:21,99,26,83
2023-09-02 10:05:37,100,26,83
2023-09-02 10:06:53,101,26,83
2023-09-02 10:08:09,102,26,83
2023-09-02 10:09:24,103,26,83
2023-09-02 10:10:40,104,26,83
2023-09-02 10:11:56,105,26,83
2023-09-02 10:13:13,106,26,83
2023-09-02 10:14:32,107,26,83
2023-09-02 10:15:52,108,26,83
2023-09-02 10:17:09,109,26,83
2023-09-02 10:18:28,110,26,83
2023-09-02 10:19:43,111,26,83
2023-09-02 10:20:59,112,26,83
2023-09-02 10:22:16,113,26,83
2023-09-02 10:19:44,114,26,83
2023-09-02 10:21:00,115,26,83
2023-09-02 10:22:17,116,26,83
2023-09-02 10:23:17,117,26,83
2023-09-02 10:24:17,118,26,83
2023-09-02 10:25:17,119,26,74
2023-09-02 10:26:17,120,26,75
2023-09-03 07:44:22,121,24,79
2023-09-03 07:45:30,122,24,79
2023-09-03 07:46:48,123,24,79
2023-09-03 07:49:37,124,25,79
2023-09-03 07:51:04,125,25,79
2023-09-03 07:52:32,126,25,80
2023-09-03 07:53:51,127,25,80
2023-09-03 07:55:09,128,25,80
2023-09-03 07:56:39,129,25,80
2023-09-03 07:58:10,130,25,80
2023-09-03 07:59:30,131,25,80
2023-09-03 08:00:50,132,25,80
2023-09-03 08:02:08,133,25,80
2023-09-03 08:03:27,134,25,80
2023-09-03 08:04:48,135,25,80
2023-09-03 08:06:10,136,25,80
2023-09-03 08:07:29,137,25,80
2023-09-03 08:08:46,138,25,80
2023-09-03 08:10:02,139,25,80
2023-09-03 08:11:18,140,25,80
2023-09-03 08:12:34,141,25,80
2023-09-03 08:13:50,142,25,80
2023-09-03 08:15:09,143,25,80
2023-09-03 08:16:25,144,25,80
2023-09-03 08:17:41,145,25,80
2023-09-03 08:19:14,146,25,80
2023-09-03 08:22:10,147,26,80
2023-09-03 08:23:19,148,26,80
2023-09-03 08:24:50,149,26,80
2023-09-03 08:26:08,150,26,80
2023-09-03 08:27:29,151,26,80
2023-09-03 08:28:45,152,25,80
2023-09-03 08:30:02,153,26,80
2023-09-03 08:31:19,154,26,80
2023-09-03 08:32:38,155,26,81
2023-09-03 08:34:03,156,26,81
2023-09-03 08:35:29,157,26,81
2023-09-03 08:37:02,158,26,81
2023-09-03 08:38:32,159,26,81
2023-09-03 08:39:52,160,26,81
2023-09-03 08:41:12,161,26,81
2023-09-03 08:43:54,162,26,81
2023-09-03 08:45:13,163,26,82
2023-09-03 08:46:32,164,26,81
2023-09-03 08:49:14,165,26,81
2023-09-03 08:50:31,166,26,81
2023-09-03 08:51:50,167,26,82
2023-09-03 08:53:07,168,26,82
2023-09-03 08:54:26,169,26,82
2023-09-03 08:55:45,170,26,82
2023-09-03 09:00:22,171,26,82
2023-09-03 09:01:54,172,26,82
2023-09-03 09:03:14,173,26,82
2023-09-03 09:04:31,174,26,82
2023-09-03 09:05:54,175,26,82
2023-09-03 09:07:11,176,26,82
2023-09-03 09:10:04,177,26,82
2023-09-03 09:11:22,178,26,82
